"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000063594",88.6365594119424,0.482597968843501,0.158710406960299,3.04074558238782,0.00235993148934476,0.352107397094736
"ENSMUSG00000022665",62.3706431803323,-0.638188354536207,0.210502101588103,-3.0317433874602,0.00243145811880121,0.358511348269831
"ENSMUSG00000001622",9.48033356095274,-5.47099355387888,1.80815292200147,-3.02573609085173,0.00248028684757558,0.361458547217031
"ENSMUSG00000028273",78.2632464747229,-0.634660043985042,0.210396579268384,-3.01649411883006,0.00255716178380948,0.368378260189474
"ENSMUSG00000023473",32.5733563751054,0.70772431509478,0.237063456708173,2.98537920994713,0.00283226971175249,0.385835177145586
"ENSMUSG00000025507",47.5128094158643,0.673797328974165,0.225042918984161,2.99408367086453,0.00275270444993101,0.385835177145586
"ENSMUSG00000028111",54.2021360000713,-0.609188431108374,0.203860029526024,-2.98826813929509,0.00280563288254397,0.385835177145586
"ENSMUSG00000031532",189.935941047597,0.337293585072863,0.112899447668686,2.98755744193437,0.00281216443121873,0.385835177145586
"ENSMUSG00000063903",30.0107134005252,-3.85082819162448,1.28644297144719,-2.99339207185567,0.00275895070381527,0.385835177145586
"ENSMUSG00000002625",104.65845600504,0.487604470187688,0.164282931548974,2.96807748431448,0.00299668778135896,0.395341978566019
"ENSMUSG00000020101",26.0420251312201,-0.724769071105554,0.243959873756127,-2.9708536077948,0.00296973304184307,0.395341978566019
"ENSMUSG00000104861",9.4020013713779,1.24397161908219,0.419039916534395,2.9686232027017,0.00299137157514257,0.395341978566019
"ENSMUSG00000055172",33.3193336753791,-0.739305125163721,0.249737383163457,-2.96033023089633,0.00307309441552993,0.401198878227465
"ENSMUSG00000013089",91.6494721747851,-0.485526098220147,0.164503332927125,-2.95146663341609,0.00316268714763601,0.407005057353652
"ENSMUSG00000021186",54.9017893684907,-0.561731072609753,0.190650150445567,-2.94639721656098,0.00321499247410927,0.407005057353652
"ENSMUSG00000055407",45.542986124457,0.552399828269011,0.187295549202594,2.9493483994726,0.00318444763472299,0.407005057353652
"ENSMUSG00000005763",6.23979338497696,1.67672646158126,0.57166144061151,2.93307601748975,0.00335621705882899,0.420634683983037
"ENSMUSG00000043241",34.87139912187,0.656984286192877,0.224581317358808,2.92537373063509,0.00344042765523998,0.422734115716889
"ENSMUSG00000074743",23.2544383384058,-0.784648598042996,0.268071944735469,-2.92700751963164,0.003422406058904,0.422734115716889
"ENSMUSG00000029306",19.8753241610991,-1.34245676600297,0.460319248102807,-2.91636026852204,0.00354141312637724,0.425296466939592
"ENSMUSG00000030302",193.350608725344,0.353373435522865,0.121230351792355,2.91489243657503,0.00355811152012455,0.425296466939592
"ENSMUSG00000037334",14.0381148098902,1.45210134329821,0.498240857948307,2.9144565728266,0.00356308378111044,0.425296466939592
"ENSMUSG00000027322",14.0547854085579,-1.15944975954824,0.398428482853794,-2.91005741166781,0.00361362369718911,0.427259866008218
"ENSMUSG00000041351",87.2557971378871,0.444479529803433,0.153503763661969,2.89556111980565,0.00378481317756918,0.443318350976398
"ENSMUSG00000000204",9.25737793728532,-1.94762714980398,0.674101863568051,-2.88921786908451,0.00386201392593138,0.448172412349055
"ENSMUSG00000038521",44.657239787232,-0.781426023468265,0.270849183372889,-2.88509647227713,0.00391293734874375,0.449915998089958
"ENSMUSG00000006219",17.9829098889341,-0.819988292198175,0.286270710360503,-2.86438068066955,0.00417825536219028,0.471098153453282
"ENSMUSG00000036103",39.7776816551624,-0.628494481006988,0.219747450940727,-2.86007632086942,0.0042353906484841,0.471098153453282
"ENSMUSG00000040254",17.4026640348799,-0.879870158992839,0.307736240459566,-2.85916978019508,0.00424751387059928,0.471098153453282
"ENSMUSG00000108414",10.9648117495667,1.31786891812875,0.460321247521626,2.86293306082256,0.00419739229152396,0.471098153453282
"ENSMUSG00000037130",20.4359606642692,1.18535282024804,0.416300597609936,2.84734835129563,0.0044085092638655,0.48466532108795
"ENSMUSG00000026650",8.55978018461197,1.25272601796938,0.442026051063918,2.83405472359418,0.00459614606191267,0.496581884430617
"ENSMUSG00000073747",493.614306357802,0.358668837931459,0.126546210056667,2.8342914242224,0.00459274279329507,0.496581884430617
"ENSMUSG00000040152",73.5451058048374,-0.644569747258444,0.227775449470721,-2.82984732883295,0.00465702208766018,0.498858613885855
"ENSMUSG00000022371",25.8086614726258,-0.717503054569873,0.254602560211202,-2.81812977047316,0.00483042824886373,0.513048790194993
"ENSMUSG00000010476",93.1811176949169,0.50179337198521,0.179600212748195,2.79394642304094,0.00520691045751223,0.533115627324218
