"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000532",42.8966733597034,-0.104121129497022,0.193868575885745,-0.53707068833262,0.591218786943302,0.999967191250388
"ENSMUSG00000000538",115.10193869393,0.0213053593113159,0.128799430486377,0.165415011781199,0.868617338743453,0.999967191250388
"ENSMUSG00000000552",29.5580491924302,-0.130747694866668,0.286001965860953,-0.457156629931121,0.647558468861285,0.999967191250388
"ENSMUSG00000000555",14.7167193534199,-0.445993609643202,0.307029448907019,-1.45260857299154,0.146332464415518,0.999967191250388
"ENSMUSG00000000560",2.13331137785345,1.64469498909504,1.39335576282819,1.18038410072435,0.237847482592476,0.999967191250388
"ENSMUSG00000000561",10.7227584869408,0.156416066478367,0.395678479080245,0.395311028393449,0.692613361376691,0.999967191250388
"ENSMUSG00000000563",205.883098331784,0.0659764731060264,0.122040259603727,0.540612362840397,0.588774794811981,0.999967191250388
"ENSMUSG00000000567",11.1775399621175,0.178194811671242,0.426044272198604,0.418254212764479,0.675761262545417,0.999967191250388
"ENSMUSG00000000568",92.1038864532882,0.0226460414092391,0.140323950856895,0.161384006585832,0.871790962454647,0.999967191250388
"ENSMUSG00000000579",47.5833840869094,-0.319843731915246,0.434873661370239,-0.735486556963357,0.462043224095942,0.999967191250388
"ENSMUSG00000000581",18.560799337765,-0.103034728792006,0.289049755475614,-0.356460183204336,0.721495965505859,0.999967191250388
"ENSMUSG00000000594",24.7825258840901,-0.141063879096349,0.305786147430586,-0.461315465993666,0.644572290447967,0.999967191250388
"ENSMUSG00000000600",22.5186063288196,-0.172036091897085,0.27542433996852,-0.624621963028934,0.532219201362273,0.999967191250388
"ENSMUSG00000000605",93.8111710409004,-0.0808407194090619,0.151361652187763,-0.534089832137796,0.5932793841536,0.999967191250388
"ENSMUSG00000000627",9.59506821246264,0.046430845652372,0.399579391113243,0.116199300276758,0.907494591295449,0.999967191250388
"ENSMUSG00000000628",136.46316695412,0.208898591400887,0.21096120988157,0.990222759521328,0.322065250472328,0.999967191250388
"ENSMUSG00000000631",89.9956021712621,-0.193714684242066,0.160319684106942,-1.20830255698887,0.226930905289369,0.999967191250388
"ENSMUSG00000000632",3.55408001272386,1.46047633553992,2.70366848868588,0.540183214640266,0.589070687270061,0.999967191250388
"ENSMUSG00000000673",1.74903521621849,1.36660727472474,1.13778997144323,1.2011068026828,0.229709774567857,0.999967191250388
"ENSMUSG00000000682",32.0740161741545,-0.0972298376996331,0.429660458805895,-0.226294590779549,0.820972305215988,0.999967191250388
"ENSMUSG00000000693",8.04258993505197,0.339831498524624,0.420231776651742,0.808676348162628,0.418701336227249,0.999967191250388
"ENSMUSG00000000708",76.7893072866811,0.118373770447235,0.169927717080374,0.69661249195295,0.486045336026453,0.999967191250388
"ENSMUSG00000000711",100.160027525844,-0.136668748620983,0.127252295616954,-1.07399829573506,0.282823445392294,0.999967191250388
"ENSMUSG00000000732",9.69357481618136,0.256001908315845,0.387243397211767,0.661087858848238,0.508555970980858,0.999967191250388
"ENSMUSG00000000738",70.6476264536445,-0.060330267467284,0.15778074578687,-0.382367741807851,0.702188614131178,0.999967191250388
"ENSMUSG00000000739",3.28070748504598,0.798429590522036,0.724517578142874,1.10201548535043,0.270454939475106,0.999967191250388
"ENSMUSG00000000740",71.762641105999,0.0630695285933681,0.238067819861964,0.26492252766433,0.791069143627347,0.999967191250388
"ENSMUSG00000000743",84.5106406237731,0.145022186737962,0.142966207078159,1.01438087854341,0.310401044827438,0.999967191250388
"ENSMUSG00000000751",69.5535076331515,-0.0813042830806996,0.168651135628171,-0.482085595082815,0.629745142374521,0.999967191250388
"ENSMUSG00000000753",141.531348815637,0.0440476702435291,0.152391435221649,0.2890429516558,0.772548508977508,0.999967191250388
"ENSMUSG00000000759",40.6589116195298,-0.385938385920236,0.205186467518745,-1.88091539655255,0.0599834284570748,0.999967191250388
"ENSMUSG00000000776",18.3914714022975,-0.109406232235196,0.321241261094206,-0.340573411592703,0.733424748495463,0.999967191250388
"ENSMUSG00000000782",10.2188517112997,0.0664042359593367,0.387778452369185,0.171242717468263,0.864032919852802,0.999967191250388
"ENSMUSG00000000787",232.452383940979,-0.321539718448299,0.105278287022396,-3.05418835680618,0.00225670344117194,0.999967191250388
"ENSMUSG00000000791",0.875149314248201,1.61741792868541,1.38181957282698,1.17049863852806,0.241800361724295,0.999967191250388
"ENSMUSG00000000792",19.1761753268895,0.488550276996504,0.39738766602615,1.2294047318629,0.218920097020583,0.999967191250388
"ENSMUSG00000000794",4.50767315719146,0.240147942587631,0.595503747803635,0.403268566274111,0.686750663424804,0.999967191250388
"ENSMUSG00000000804",45.5951110002318,0.158560030014415,0.175904634322105,0.901397684179658,0.367376912273745,0.999967191250388
"ENSMUSG00000000805",6.40333452636185,-0.290719064805151,0.539353283807169,-0.539014174073499,0.589877074365489,0.999967191250388
"ENSMUSG00000000811",6.63845480545141,-0.19541243060703,0.431425655914389,-0.452945780873559,0.650587783995042,0.999967191250388
"ENSMUSG00000000823",79.7891147753267,-0.180407805675915,0.163960401256422,-1.10031327255518,0.271195651193936,0.999967191250388
"ENSMUSG00000000826",76.9866519920413,-0.0728040114137279,0.160732074199976,-0.452952603119824,0.650582871333089,0.999967191250388
"ENSMUSG00000000827",90.5621499878523,0.00927911032836704,0.184605830241781,0.0502644489408273,0.959911653576806,0.999967191250388
"ENSMUSG00000000838",28.6601956829965,0.0656082807474222,0.248794225046592,0.263704998518899,0.792007243578111,0.999967191250388
"ENSMUSG00000000861",26.1058462491295,0.0367370639327662,0.245795593515265,0.149461849203105,0.881189211108608,0.999967191250388
"ENSMUSG00000000869",1.58473156840432,0.360657234843432,0.994558695600436,0.362630417328658,0.716880985029732,0.999967191250388
"ENSMUSG00000000876",12.8956321504932,0.0943355883676383,0.328106077418844,0.287515516657786,0.773717622696317,0.999967191250388
"ENSMUSG00000000881",41.8888738412698,-0.0743327749560272,0.199589538704573,-0.372428211611093,0.709574052373629,0.999967191250388
"ENSMUSG00000000884",8.53058216373514,0.0407596295212865,0.406677584727378,0.1002259063494,0.920164979271476,0.999967191250388
"ENSMUSG00000000901",4.41841011552803,-0.205821556612375,0.537226869497332,-0.383118507838144,0.701631897406919,0.999967191250388
"ENSMUSG00000000902",54.9103486452432,-0.370821860934807,0.188897079149612,-1.963089437932,0.0496357826065925,0.999967191250388
"ENSMUSG00000000915",74.2337952770207,-0.00519027816630816,0.161691709347882,-0.0320998410323019,0.974392430184047,0.999967191250388
